* LOGI *
0.981 - 17:02:25.070681
0.981 - 17:02:27.072549
0.981 - 17:02:29.077093
0.981 - 17:02:31.075633
0.981 - 17:02:33.087872
0.981 - 17:02:35.079272
0.981 - 17:02:37.090721
0.981 - 17:02:40.328673
0.981 - 17:02:42.888207
0.981 - 17:02:43.097104
0.981 - 17:02:45.087402
0.981 - 17:02:47.087236
0.981 - 17:02:49.092559
0.981 - 17:02:51.089841
0.981 - 17:02:53.091044
0.981 - 17:02:55.091861
0.981 - 17:02:57.093224
0.981 - 17:02:59.104412
0.981 - 17:03:01.101677
0.981 - 17:03:03.102309
0.981 - 17:03:05.102038
0.981 - 17:03:07.104914
0.981 - 17:03:09.106088
0.981 - 17:03:11.118608
0.981 - 17:03:13.111509
0.981 - 17:03:15.115591
0.981 - 17:03:17.112355
0.981 - 17:03:19.116887
0.981 - 17:03:21.114103
0.981 - 17:03:23.116181
0.981 - 17:03:25.123017
0.981 - 17:03:27.126682
0.981 - 17:03:29.125569
0.981 - 17:03:31.126592
0.981 - 17:03:33.126498
0.981 - 17:03:35.126583
0.981 - 17:03:37.129721
0.981 - 17:03:39.130497
0.981 - 17:03:41.132661
0.955 - 17:03:44.813076
0.955 - 17:03:45.136995
0.955 - 17:03:47.140705
0.955 - 17:03:49.150415
0.955 - 17:03:51.153685
0.955 - 17:03:55.310541
0.955 - 17:03:55.316161
0.955 - 17:03:57.146933
0.955 - 17:03:59.148480
0.955 - 17:04:01.149106
0.955 - 17:04:03.151211
0.955 - 17:04:05.150369
0.955 - 17:04:07.152315
0.955 - 17:04:09.154821
0.955 - 17:04:11.159124
0.955 - 17:04:13.154739
0.955 - 17:04:15.156585
0.955 - 17:04:17.158150
0.955 - 17:04:19.160269
0.955 - 17:04:21.161513
0.955 - 17:04:23.161310
0.955 - 17:04:25.172230
0.955 - 17:04:27.205835
0.955 - 17:04:29.188909
0.955 - 17:04:31.178309
0.955 - 17:04:33.993195
0.955 - 17:04:35.184595
0.955 - 17:04:37.185488
0.955 - 17:04:39.183423
0.955 - 17:04:41.186654
0.955 - 17:04:43.189269
0.975 - 17:04:46.882845
0.975 - 17:04:47.195832
0.975 - 17:04:49.190448
0.975 - 17:04:51.191356
0.975 - 17:04:53.192730
0.975 - 17:04:55.193978
0.975 - 17:04:57.205346
0.975 - 17:04:59.198222
0.975 - 17:05:01.200657
0.975 - 17:05:03.209804
0.975 - 17:05:05.202216
0.975 - 17:05:07.204152
0.975 - 17:05:09.206937
0.975 - 17:05:11.208932
0.975 - 17:05:13.208261
0.975 - 17:05:15.209148
0.975 - 17:05:17.210061
0.975 - 17:05:19.210191
0.975 - 17:05:21.212394
0.975 - 17:05:23.213689
0.975 - 17:05:25.231342
0.975 - 17:05:27.268393
0.975 - 17:05:29.228143
0.975 - 17:05:31.225979
0.975 - 17:05:33.231420
0.975 - 17:05:35.229532
0.975 - 17:05:37.251370
0.975 - 17:05:39.246561
0.975 - 17:05:41.247983
0.975 - 17:05:43.248212
0.975 - 17:05:45.249662
0.968 - 17:05:48.922017
0.968 - 17:05:49.253351
0.968 - 17:05:51.253884
0.968 - 17:05:53.268357
0.968 - 17:05:55.272297
0.968 - 17:05:59.074282
0.968 - 17:05:59.268282
0.968 - 17:06:01.268502
0.968 - 17:06:03.268345
0.968 - 17:06:05.283684
0.968 - 17:06:07.268520
0.968 - 17:06:09.283080
0.968 - 17:06:11.325670
0.968 - 17:06:13.282910
0.968 - 17:06:15.283227
0.968 - 17:06:18.640342
0.968 - 17:06:19.286527
0.968 - 17:06:21.284483
0.968 - 17:06:23.456862
0.968 - 17:06:25.289015
0.968 - 17:06:27.286550
0.968 - 17:06:29.289496
0.968 - 17:06:31.284538
0.968 - 17:06:33.285369
0.968 - 17:06:35.288289
0.968 - 17:06:37.284216
0.968 - 17:06:39.285315
0.968 - 17:06:41.287396
0.968 - 17:06:43.299687
0.968 - 17:06:45.305387
0.968 - 17:06:48.031722
0.967 - 17:06:50.963171
0.967 - 17:06:51.301194
0.967 - 17:06:53.302938
0.967 - 17:06:55.301346
0.967 - 17:06:57.299687
0.967 - 17:06:59.458183
0.967 - 17:07:01.343477
0.967 - 17:07:03.303557
0.967 - 17:07:05.458932
0.967 - 17:07:07.304156
0.967 - 17:07:09.310885
0.967 - 17:07:11.311361
0.967 - 17:07:13.308967
0.967 - 17:07:15.310545
0.967 - 17:07:17.311524
0.967 - 17:07:19.313603
0.967 - 17:07:21.313381
0.967 - 17:07:23.668243
0.967 - 17:07:25.315271
0.967 - 17:07:27.316874
0.967 - 17:07:29.857676
0.967 - 17:07:31.323253
0.967 - 17:07:33.319702
0.967 - 17:07:35.321220
